First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Shao,Tu,M,59,2,China,19/09/1989,12.93,13.23,3.63,4.21,3.11,1.8,0.19,3;20,34;49;32,42;86;39,2016,2017,3,3,10,4,0,0,0,10,32,52,4,,,,,,,,,,1.62125
Lovisa,Frisk,F,60,2,Sweden,08/05/1976,4.75,19.11,2.13,2.85,2.65,2.84,0.16,4;18,9;11;13,25;31;15,2016,2018,4,0,1,0,0,0,0,0,5,53,2,,,,,,,,,,1.430416667
Kim,Sung-Ryong,M,61,2,SouthKorea,19/07/1996,1.69,2.5,8.36,8.22,1.38,3.52,0.11,8;16,0;0;0,0;0;0,2016,2017,4,3,6,8,0,0,1,45,65,53,3,,,,,,,,,,1.069583333
Rory,Gibson,M,62,2,UK,17/03/1980,9.68,4.6,11.86,5.32,13.2,6.65,0.28,13;21,6;8;7,18;22;20,2016,2018,1,5,1,6,0,0,4,3,13,60,1,,,,,,,,,,2.137916667
Ivan,Asllani,M,64,1,Mexico,21/12/1963,15.0302,18.9007,10.1651,19.5,14.6858,12.9211,0.94,4;14,69,109,2014,2016,2,0,3,8,3,0,0,40,74,62,1,,,,,,,,,,3.8001
Wilco,Messaadia,M,64,2,Netherlands,14/06/1981,13.4122,15.7341,15.0719,14.3307,19.5,12.0135,0.78,12;17,20,68,2015,2016,4,1,3,9,2,0,4,34,90,59,2,,,,,,,,,,3.7526
Rosa,Molina,F,63,2,Spain,11/11/1991,7.82,11.96,4.23,5.6,1.03,4.89,0.17,10;16,40;30;45,60;40;70,2016,2017,4,4,0,8,0,0,0,13,183,58,2,,,,,,,,,,1.480416667
Becky,Kitagawa,F,,2,Canada,03/12/1985,9.82,12,14.12,2.56,4.66,8.45,,3;20,,,,,4,1,2,5,1,0,0,57,55,56,4,,,,,,,,,,2.150416667
Trevor,Clarke,M,,2,UK,01/05/1979,4.24,2.9,18.4,9.6,11.12,7.22,,7;15,,,,,3,2,5,6,0,0,0,12,21,55,6,,,,,,,,,,2.228333333
Carlos,Semedo,M,,2,Spain,03/02/1984,6.45,7.22,11.43,4.89,6.33,4.21,,3;16,,,,,3,4,6,3,1,0,4,0,5,56,2,,,,,,,,,,1.68875
Samantha,Stafford,F,,2,UK,07/08/1989,8.43,6.44,7.12,5.21,7.99,12.32,,7;17,,,,,3,1,4,8,0,0,0,33,19,52,4,,,,,,,,,,1.979583333
Kevin,Süle,M,,2,Germany,14/06/1988,9.11,7.32,8.42,14.44,14.45,16.77,,8;19,,,,,3,2,6,1,0,0,6,46,67,55,4,,,,,,,,,,2.937916667
Kanyawat,Kurtaj,M,65,1,Thailand,02/09/1986,13.7761,17.944,12.9774,15.6557,15.8151,12.6382,0.54,13;21,38,46,2015,2016,5,4,6,6,0,0,2,42,76,56,4,,,,,,,,,,3.7003
Muniandy,Ayoubi,M,65,2,SriLanka,21/11/1979,9.2084,7.9061,18.5491,11.9882,16.4123,14.5851,1,8;19,51,109,2015,2016,5,4,3,4,0,0,4,15,82,56,1,,,,,,,,,,3.2771
Hermes,Belli,M,66,1,Spain,13/12/1979,9.2091,6.0272,19.5,9.272,12.3002,9.1614,0.27,1;21,0,11,2015,2016,5,5,4,6,0,0,2,12,49,58,2,,,,,,,,,,2.7279
Benji,Boussettaoui,M,66,2,Belgium,16/10/1968,16.6053,9.8632,6.3557,3.9493,10.3278,9.9627,0.24,8;15,0,19,2016,2018,3,5,1,1,3,1,9,13,90,65,2,,,,,,,,,,2.3777
Guillem,Moudjer,M,67,1,Spain,30/09/1965,14.0384,7.0675,17.8068,9.9326,19.5,0.5,0.2,13;18,69,149,2014,2016,2,2,5,1,0,0,9,6,43,63,5,,,,,,,,,,2.8686
Hafizullah,Alikhil,M,67,2,Afghanistan,08/12/1986,11.3322,6.028,5.7314,9.243,18.1374,8.853,0.16,7;15,0,33,2015,2016,5,2,5,4,0,0,7,44,34,45,1,,,,,,,,,,2.4719
Jarod,Paravano,M,68,1,Belgium,02/11/1994,0.5,0.5,0.5,11.7385,3.0363,7.4278,0.08,4;15,53,88,2016,2018,2,1,2,7,1,0,7,28,67,52,4,,,,,,,,,,0.98761
Ada,Carlen,M,68,2,UK,23/12/1986,7.6351,12.0863,13.9519,11.0866,6.0348,9.4353,0.12,10;14,43,77,2014,2016,4,3,4,3,0,0,3,13,48,53,4,,,,,,,,,,2.5096
Lamin,Guetrani,M,69,1,Sweden,16/09/1983,5.1306,0.5,3.975,6.1675,2.6347,8.8763,0.08,11;16,24,35,2014,2016,5,0,0,0,2,0,3,17,56,51,1,,,,,,,,,,1.1368
Seksan,Veliaj,M,69,2,Thailand,30/06/1980,17.5663,11.1397,15.0506,10.4363,4.0964,10.2293,0.09,4;16,71,99,2016,2018,4,5,1,1,0,0,1,18,25,53,2,,,,,,,,,,2.8549
Jonnathan,Rexhepi,M,70,1,Colombia,22/06/1974,12.8026,15.4987,7.977,12.8988,11.7261,8.5376,0.47,4;14,44,82,2015,2017,4,3,3,7,0,0,5,22,72,55,1,,,,,,,,,,2.8934
Makkhsat,Salija,M,70,2,Kazakhstan,24/01/1988,7.9907,5.7357,3.5345,15.7271,10.6707,2.6564,0.46,2;17,45,93,2015,2016,5,4,0,8,3,0,3,7,53,46,1,,,,,,,,,,1.9298
Brynjar,Belfortti,M,71,1,Norway,25/01/1966,12.8788,9.8607,16.5141,19.5,9.875,19.5,0.53,8;17,36,34,2016,2016,3,3,0,5,0,0,11,32,56,54,3,,,,,,,,,,3.672
Sergio,Mekihel,M,71,2,Colombia,19/06/1983,6.5799,19.5,0.5,12.4448,6.1556,16.163,0.49,3;14,17,26,2015,2016,4,0,4,11,1,0,9,39,25,50,5,,,,,,,,,,2.556
Jacques,Colaki,M,72,1,UK,19/01/1975,6.5259,9.8466,9.7318,13.3326,12.1915,2.4832,0.14,4;21,0,13,2014,2016,2,5,5,0,0,0,0,31,81,48,4,,,,,,,,,,2.2547
Nurani,Osmani,M,72,2,Indonesia,13/11/1968,12.2461,12.2232,15.3379,5.0068,6.1166,2.9305,0.2,3;20,20,32,2014,2016,2,0,2,3,0,0,2,39,39,66,2,,,,,,,,,,2.2442
Kathiripillai,Strakosha,M,73,1,SriLanka,08/12/1976,9.0364,0.5,1.8334,13.0464,0.5,0.5,0.21,10;21,68,146,2016,2018,4,1,0,4,0,1,1,41,65,58,2,,,,,,,,,,1.059
Nello,Osborne,M,73,2,Italy,28/09/1964,0.99185,4.4451,14.8394,13.9373,14.3077,5.9739,0.23,12;18,78,150,2015,2016,4,1,4,7,0,0,5,50,79,46,2,,,,,,,,,,2.2706
Jae-Wook,Bekkadour,M,,,SouthKorea,17/07/1987,13.6755,15.6122,11.8497,0.5,8.4238,13.9293,,10;21,,,,,5,1,6,5,0,0,4,36,40,57,3,,,,,,,,,,2.6663
Zhongchang,Dastgir,M,,,China,03/03/1970,4.8547,7.1991,7.8549,9.4709,4.9124,9.1335,,12;19,,,,,5,4,1,9,0,0,8,46,35,49,5,,,,,,,,,,1.8094
Edvard,Del Cero,M,,,Sweden,24/03/1967,3.3349,18.6882,1.5646,9.3431,18.186,19.5,,1;21,,,,,4,3,6,9,2,0,4,16,41,50,3,,,,,,,,,,2.9424
Xoel,Candia,M,,,Spain,05/06/1994,1.0075,9.0358,11.996,0.74333,18.7096,9.4556,,2;17,,,,,5,3,1,10,3,0,7,32,34,58,3,,,,,,,,,,2.1228
Yong-Chan,Sharza,M,,,SouthKorea,30/10/1991,8.5445,10.0343,8.6777,10.1939,7.987,12.2203,,3;14,,,,,5,1,4,4,0,0,4,5,21,56,3,,,,,,,,,,2.4024
Romuald,Randulfe,M,,,France,05/10/1980,8.62,10.7027,14.3772,5.4739,8.4199,15.7281,,11;14,,,,,4,3,2,9,0,0,1,46,21,57,3,,,,,,,,,,2.6384
Narentron,Ramushi,M,,,Thailand,27/08/1970,6.2595,6.2516,11.0147,8.06,8.5673,15.4024,,9;17,,,,,4,1,6,11,0,0,9,11,43,61,4,,,,,,,,,,2.3148
G.,Asani,M,,,SriLanka,25/07/1987,19.2855,9.4203,12.9831,15.2573,10.662,1.0053,,9;16,,,,,2,1,1,3,3,0,8,2,74,59,2,,,,,,,,,,2.8589
Fabrício,Carmona,M,,,Brazil,02/11/1989,5.6542,0.5,0.5,10.8064,0.95625,0.5,,8;15,,,,,3,0,5,7,3,0,5,42,26,61,3,,,,,,,,,,0.7882
Mirjana,Pelinku,F,,,Slovenia,15/02/1976,12.2222,14.2714,13.2156,9.2639,12.4409,6.3848,,10;17,,,,,2,5,5,9,0,0,5,7,80,54,5,,,,,,,,,,2.8249
Makenzi,Frrokaj,M,,,RussianFederation,06/05/1991,11.7605,8.8342,11.8345,9.3163,9.8331,11.3543,,1;20,,,,,5,2,0,4,0,0,5,37,64,61,3,,,,,,,,,,2.6222
Labros,Progni,M,,,Cyprus,02/02/1970,18.4154,12.5208,15.8521,10.0082,18.6262,19.0858,,10;18,,,,,3,3,4,11,4,0,6,17,80,60,3,,,,,,,,,,3.9379
Byung-Gun,Nasrat,M,,,SouthKorea,09/05/1994,12.9291,9.4259,15.4462,12.4502,13.6952,12.1219,,11;15,,,,,3,3,2,0,4,0,1,40,87,49,3,,,,,,,,,,3.1695
Mourad,Idrizaj,M,,,France,20/07/1962,8.3051,8.6407,7.3729,6.878,7.0513,6.6471,,12;16,,,,,3,2,1,8,0,0,11,18,50,54,3,,,,,,,,,,1.8706
Danny,Perticari,M,,,UK,11/10/1985,11.0482,11.0543,11.0527,11.0503,11.054,11.0513,,8;18,,,,,3,2,6,0,1,0,7,25,38,52,2,,,,,,,,,,2.763
Kordian,Benzaïd,M,,,Poland,04/04/1992,7.8323,10.359,10.1526,7.8882,5.9232,7.909,,12;16,,,,,3,5,6,11,2,0,2,21,84,55,2,,,,,,,,,,2.086
Henry,Belerj,M,,,UnitedStates,04/10/1980,10.8169,4.389,9.4283,1.4832,9.4257,6.8018,,1;21,,,,,4,2,5,5,0,0,10,41,90,58,5,,,,,,,,,,1.7644
Thitivath,Maatallah,M,,,Thailand,10/06/1991,18.0612,10.6355,14.8761,7.655,10.5028,14.3928,,12;19,,,,,2,0,0,9,0,0,10,2,70,51,1,,,,,,,,,,3.1718
Eevertti,Djilali,M,,,Finland,23/07/1968,0.5,2.1916,9.3897,0.5,7.3203,10.2779,,2;17,,,,,3,4,0,3,0,0,2,39,75,56,2,,,,,,,,,,1.2575
Le-Rohne,Amiri,M,,,Canada,12/08/1962,11.5421,7.5241,13.0642,12.255,7.5898,9.624,,12;18,,,,,5,1,3,11,0,0,10,39,72,60,5,,,,,,,,,,2.5666
