First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
William,Evans,M,29,Equal,,Australia,21/12/1988,1; 46; 74,-1,0,81,0.46,2017,2016,0,,0,,0,0,2.61,6.12,3.5,2.22,3.56,4.08,5.88,2.37,1.66,0.42,7,37,,,,,,,,,,,100,41,31,25,2,58,28,42,0,1,8,3,0,1,0,9,0,8,0,7,27,3,50,1,34,2,3,0,100,0.888888889,Any,
Aurélie,Dembélé,F,30,Two,,France,16/06/1983,7,-1,0,72,3.11,2016,2015,0,,0,,0,0,6.66,12.25,9.63,7.31,12.6,9.5,13.48,11.68,7.89,0.72,48,69,,,,,,,,,,,100,20,25,0,4,75,10,76,5,3,8,0,0,0,0,17,0,4,7,0,42,2,20,3,33,2,1,0,100,2.527777778,SingleSeaterSeries,
Sergio,Valdés,M,30,One,,Spain,04/03/1996,49; 2; 13; 209,-1,0,71,4.22,2018,2016,0.04,3,0.05,3,0,0,9.26,15.13,11.92,13.6,11.24,12.04,4.69,11.05,12.07,0.48,77,29,,,,,,,,,,,50,53,18,33,3,98,17,84,4,0,5,1,0,0,0,0,0,7,6,2,100,2,29,2,32,3,10,150,100,2.805555556,Any,
Mustafa,El Sadat,M,31,Equal,,Egypt,18/08/1993,65; 209; 274,2,0,76,2.44,2016,2016,0,,0,,0,0,5.43,8.05,14.42,9.85,12.7,6.33,4.56,13.97,9.69,0.61,55,40,,,,,,,,,,,76,51,85,30,5,71,31,77,2,1,5,0,0,0,0,1,0,5,3,8,30,5,50,1,32,2,2,0,100,2.361111111,Any,
Alex,Rogers,M,31,Equal,,UK,21/01/1982,65; 24,-1,0,69,2,2016,2016,0,,0,,0,0,8.75,5.87,6.29,12.79,11.89,10.51,4.41,8.07,12.42,0.9,19,56,,,,,,,,,,,100,53,64,11,3,82,98,87,1,1,1,1,0,2,0,0,0,3,5,5,44,3,50,3,34,2,1,0,100,2.25,Any,
Noomi,Seppälä,F,12,Reserve,,Finland,29/05/1983,264,2,0,74,4.67,2016,2016,0,,0,,0,0,17,8.11,11.65,15.6,16.42,15.18,6.39,8.54,6.11,0.42,85,13,,,,,,,,,,,100,33,55,9,2,60,17,56,2,5,1,0,0,0,0,4,0,3,9,5,1,1,50,1,31,2,1,0,100,2.916666667,SingleSeaterSeries,
Andrea,Floridi,F,13,Reserve,,Italy,12/12/1990,10,-1,0,68,4.67,2017,2016,0,,0,,0,0,6.37,9.85,13.8,13.35,7.73,16.05,13.7,14.44,9.71,0.63,38,14,,,,,,,,,,,100,21,62,25,5,39,49,58,3,4,7,0,0,0,0,12,0,4,9,8,28,3,18,3,33,2,2,0,100,2.916666667,Any,
Amy,McCloud,F,14,Reserve,,UK,11/03/1997,21;49,-1,0,63,1,2016,2016,0,,0,,0,0,4.93,3.55,4.57,13.47,10.23,2.14,18.2,3.91,11,0.75,45,4,,,,,,,,,,,40,40,20,58,3,66,63,53,2,5,2,0,0,0,0,16,0,6,7,7,19,2,95,3,31,2,1,0,100,2,Any,
Frankie,Parkes,M,15,Reserve,,UK,18/07/1989,41; 80; 165,-1,0,68,0.28,2016,2016,0,,0,,0,7.5,1.4,2.6,1.3,2.8,1.6,1.8,1,1.2,2.4,0.55,84,23,,,,,,,,,,,100,62,87,12,3,46,33,99,1,4,8,0,0,0,0,3,0,5,2,4,36,5,35,1,34,2,1,0,100,0.447222222,Any,
Gabriela,Sá,F,16,Reserve,,Portugal,17/06/1992,46; 209,-1,0,66,4.22,2016,2015,0,,0,,0,0,18.47,12.8,10.75,8.02,18.14,5.7,13.42,7.06,6.64,0.88,99,83,,,,,,,,,,,100,44,91,12,5,61,38,91,5,4,8,3,0,0,0,11,0,2,6,3,23,1,45,3,29,1,1,0,100,2.805555556,SingleSeaterSeries,
Magnus,Krantz,M,17,Reserve,,Germany,17/05/1988,37,-1,0,63,4.11,2016,2015,0,,0,,0,0,5.1,11.58,4.63,10.15,9.5,11.97,18.47,16.34,12.26,0.59,49,79,,,,,,,,,,,100,62,37,32,2,83,40,20,1,2,7,0,0,0,0,5,0,5,9,7,14,4,50,1,33,2,1,0,100,2.777777778,SingleSeaterSeries,
Thierry,Leclère,M,18,Reserve,,France,12/09/1983,64,-1,0,68,3.56,2016,2015,0,,0,,0,0,5.22,11.27,13.79,11.74,9.35,17.34,10.58,8.88,6.83,0.48,89,65,,,,,,,,,,,100,66,83,26,3,20,15,36,5,4,7,0,0,0,0,11,0,2,1,6,41,3,80,1,34,2,4,0,100,2.638888889,SingleSeaterSeries,
Ebony,Tyler,F,19,Reserve,,UK,06/10/1998,50; 6,2,0,62,5.69,2016,2016,0,,0,,0,0,9.08,17.75,17.21,15.24,11.2,15.25,11.64,9.03,6.6,0.76,24,39,,,,,,,,,,,24,63,12,12,3,86,35,49,2,1,2,4,0,0,0,12,0,8,8,8,10,4,25,4,31,2,1,0,100,3.138888889,Any,
Khotso,Masilela,M,20,Reserve,,SouthAfrica,15/02/1996,15,-1,0,75,3.89,2016,2016,0,,0,,0,0,5.88,10.74,10.29,14.08,17.05,8.58,7.85,16.46,7.07,0.42,35,25,,,,,,,,,,,51,59,17,30,5,97,17,68,4,3,8,0,0,10,0,17,0,2,0,10,45,4,30,2,30,1,3,0,100,2.722222222,Any,
Jaidee,Veerapol,F,21,Reserve,,Thailand,24/05/1993,60; 182; 294,1,0,60,0.86,2017,2015,0,,0,,0,0,8.2,2.27,13.15,6.9,4.9,2.78,10.46,11.62,1.72,0.73,58,75,,,,,,,,,,,100,41,32,32,2,64,43,62,1,1,4,0,0,0,0,13,0,7,6,4,35,5,45,5,28,2,1,0,100,1.722222222,Any,
Shen,Qi,F,22,Reserve,,China,20/08/1997,6; 56,-1,0,54,0.79,2016,2016,0,,0,,0,0,9.84,8.45,2.28,11.18,1.79,5.08,9.61,5.2,3.57,0.47,94,98,,,,,,,,,,,35,26,10,45,3,68,89,42,1,5,5,0,0,0,0,12,0,0,10,1,61,3,40,6,28,2,2,0,100,1.583333333,Any,
Valerie,Yao,F,23,Reserve,,Singapore,30/06/1982,2,-1,0,58,0.69,2016,2016,0,,0,,0,0,3.95,3.74,8.97,1.93,7.71,6.26,7.99,3.3,6.15,0.59,60,47,,,,,,,,,,,100,44,16,55,3,86,58,90,3,5,8,0,0,0,0,1,0,9,2,9,63,2,30,1,33,3,1,0,100,1.388888889,Any,
Adrian,Earle,M,24,Reserve,,UK,08/07/1987,42,-1,0,66,0.68,2017,2015,0,,0,,0,0,16.34,5.87,9.81,1.65,1.84,3.26,3.71,4.21,2.31,0.58,87,90,,,,,,,,,,,100,52,7,15,3,18,67,38,2,1,0,0,0,0,0,17,0,4,10,9,43,5,65,3,32,2,1,0,100,1.361111111,Any,
Simone,Santore,F,25,Reserve,,Italy,24/10/1991,74; 284,-1,0,59,0.78,2016,2016,0,,0,,0,0,5,5.19,9.08,1.78,7.25,7.01,3.8,9.16,7.73,0.79,28,93,,,,,,,,,,,94,55,35,66,3,28,72,15,3,2,6,1,0,5,0,15,0,3,7,7,35,2,88,3,31,2,6,0,100,1.555555556,Any,
Christian,West,M,26,Reserve,,UK,29/09/1993,48,-1,0,73,0.53,2016,2015,0,,0,,0,0,6.54,5.77,5.45,2.45,0.66,2.05,6.87,5.71,2.5,0.71,1,49,,,,,,,,,,,100,23,6,12,2,52,4,15,1,3,9,0,0,0,0,10,0,5,7,2,37,1,45,1,32,2,1,0,100,1.055555556,Any,
Bruno,Cabral,M,27,Reserve,,Portugal,27/09/1998,26; 164,-1,0,73,0.56,2016,2016,0,,0,,0,0,7.25,8.25,3.11,8.28,1.83,1.89,6.02,1.61,1.76,0.55,45,56,,,,,,,,,,,24,55,74,16,3,9,48,29,0,4,9,0,0,0,0,6,0,6,9,1,33,3,30,2,30,2,1,0,100,1.111111111,Any,
Hong,Liào,M,28,Reserve,,China,20/10/1998,6,-1,0,71,2,2016,2016,0,,0,,0,0,9.29,9.84,4.99,9.19,4.87,5.71,10.26,15.33,11.52,0.54,21,56,,,,,,,,,,,24,57,74,44,5,56,7,98,3,0,6,0,0,2,0,3,0,8,2,0,65,1,40,3,34,1,1,0,100,2.25,Any,
Katie,Linares,F,29,Reserve,,Australia,15/07/1995,7,-1,0,62,0.44,2016,2015,0,,0,,0,0,3.08,2.18,2.16,1.01,1.81,4.03,9.2,5.73,1.8,0.66,23,73,,,,,,,,,,,100,55,6,0,4,72,88,22,3,2,8,4,0,0,0,9,0,10,10,6,16,1,45,2,27,2,1,0,100,0.861111111,Any,
Cerys,Young,F,30,Reserve,,UnitedStates,24/12/1985,8,-1,0,66,0.53,2016,2016,0,,0,,0,0,2.2,1.39,4.19,1.52,5.68,3.15,3.85,8.92,7.1,0.92,91,47,,,,,,,,,,,100,29,78,27,3,89,34,53,1,1,7,0,0,0,0,13,0,4,0,8,49,5,65,1,32,2,1,0,100,1.055555556,Any,
Peter,Young,M,31,Reserve,,UK,14/01/1985,10,-1,0,74,0.57,2016,2015,0,,0,,0,0,3.33,2.3,5.02,4.37,2.71,4.72,1.88,11.12,5.55,0.81,17,5,,,,,,,,,,,100,44,9,26,5,33,58,7,1,4,4,1,0,11,0,6,0,5,3,0,43,5,50,1,31,3,1,0,100,1.138888889,Any,
Andrea,Gabler,F,32,One,,Germany,11/10/1981,35; 73; 278,0,0,66,14.44,2016,2014,0.08,1,0.065,3,0,0,17.64,16.9,19.61,17.15,19.17,16.2,15.84,18.46,19.03,0.85,16,,,,,,,,,,,,100,68,81,0,4,,,,2,3,8,0,0,1,0,14,0,10,5,10,88,2,50,2,33,3,10,200,100,4.444444444,GTSeries; EnduranceSeries,
Lisandro,Cruz,M,32,Two,,Venezuela,13/02/1993,34,0,0,74,7.78,2017,2015,0,,0,,0,0,3.97,14.03,16.85,15.03,17.17,17.73,7.09,17.84,18.29,0.49,87,,,,,,,,,,,,100,70,97,35,3,,,,2,1,5,0,0,0,0,12,0,4,2,0,64,1,40,3,29,2,7,100,100,3.555555556,GTSeries,
Chica,Balcazar,F,32,Reserve,,Spain,01/06/1998,6; 53; 287,0,0,64,6.81,2018,2016,0,,0,,0,0,15.94,15.14,10.22,17.01,8.77,12.76,16.38,10.61,14.17,0.75,16,,,,,,,,,,,,28,50,81,12,4,,,,5,1,9,0,0,0,0,16,0,8,6,7,55,2,20,2,28,3,5,0,100,3.361111111,Any,
Maxime,Lori,M,33,Equal,,Switzerland,23/12/1983,35; 53; 65,0,0,67,15.28,2016,2015,0,,0,,0,0,17.24,16.41,19.36,18.16,19.64,18.9,16.89,17.61,18.79,0.5,16,,,,,,,,,,,,100,61,81,0,4,,,,2,6,7,1,0,0,0,8,0,10,6,9,88,2,50,3,32,3,4,0,100,4.527777778,GTSeries; EnduranceSeries,
Sofi,Sevilla,F,33,Equal,,Spain,08/12/1986,22,1,0,64,8.33,2017,2015,0,,0,,0,0,15.19,14.32,17.6,18.17,12.62,16.19,18.92,13.28,5.71,0.86,17,,,,,,,,,,,,100,58,33,30,3,,,,0,1,1,0,0,5,0,0,0,4,2,5,68,5,45,3,32,2,5,0,100,3.666666667,GTSeries,
Miia,Lahtinen,F,33,Reserve,,Finland,15/09/1989,64; 165,1,0,59,0.93,2018,2016,0,,0,,0,1.45,5.82,4.29,4.04,11.13,6.99,14.97,7.56,5.94,6.26,0.47,43,,,,,,,,,,,,100,65,80,50,3,,,,0,4,9,0,0,0,0,0,0,5,4,2,10,4,65,2,30,2,3,0,100,1.861111111,Any,
Chiaki,Hashimoto,F,34,One,,Japan,16/10/1997,36;  25; 228,0,0,61,12.5,2016,2015,0,,0,,0,0,17.83,18.52,7.8,14.96,17.98,18.79,19.54,18.42,19.16,0.73,16,,,,,,,,,,,,52,63,81,20,4,,,,2,5,0,0,0,5,0,14,0,0,2,3,89,2,15,6,26,3,4,150,100,4.25,Any,
Riku,Tanaka,M,34,Two,,Japan,31/05/1990,30; 41; 227,1,0,70,7.08,2016,2015,0,,0,,0,0,14.37,16.74,9.82,9.2,7.47,14.94,16.57,17.74,16.15,0.66,16,,,,,,,,,,,,100,63,81,25,4,,,,1,6,4,0,0,0,0,6,0,5,4,5,47,2,35,2,31,2,2,0,100,3.416666667,GTSeries,
Marieke,Meulen,F,34,Reserve,,Netherlands,13/04/1982,44; 165,1,0,61,0.82,2016,2014,0,,0,,0,0.35,5.71,4.75,8.31,4.98,7.39,7.22,1.84,6.56,12.24,0.51,13,,,,,,,,,,,,100,68,64,9,5,,,,1,5,9,0,0,0,0,0,0,9,6,4,16,4,50,2,34,1,3,0,100,1.638888889,GTSeries,
Jarita,Dutt,F,35,Two,,India,25/03/1991,43; 16,1,0,54,8.61,2017,2015,0,,0,,0,0,9.8,11.54,18.1,14.88,12.21,18.11,16.26,16.73,16.37,0.92,16,,,,,,,,,,,,100,57,81,2,4,,,,2,3,4,1,0,0,0,4,0,6,10,8,90,2,15,4,27,2,2,0,100,3.722222222,Any,
Rafael,Rodrigues,M,35,One,,Portugal,21/06/1988,39;24;89,0,0,81,6.94,2018,2016,0,,0.06,1,0,0,10.65,18.79,16.16,16.15,14.8,6.31,8.71,13.17,17.26,0.72,34,,,,,,,,,,,,100,49,3,22,3,,,,1,5,6,1,0,0,0,5,0,6,5,3,95,1,55,2,33,3,10,100,100,3.388888889,Any,
Lorenzo,Mori,M,35,Reserve,,Italy,10/11/1987,9;79,-1,0,75,4.78,2016,2015,0,,0,,0,0,5.3,19.8,10.75,8.19,9.95,9.83,11.49,10.99,19.7,0.46,35,,,,,,,,,,,,100,56,0,19,4,,,,2,4,6,0,0,0,0,4,0,10,1,1,54,2,25,3,31,2,2,0,100,2.944444444,GTSeries,
Mia,Holgersen,F,36,Equal,,Denmark,07/07/1997,68,-1,0,63,9.03,2016,2015,0,,0,,0,0,17.32,15.11,17.13,17.78,12.37,18.73,12.44,12.62,13.5,0.66,16,,,,,,,,,,,,60,60,81,10,4,,,,1,2,2,0,0,10,0,14,0,6,10,0,40,2,24,4,30,2,3,0,100,3.805555556,GTSeries; EnduranceSeries,
Will,Baggs,M,36,Equal,,Australia,25/08/1976,35; 46,1,0,70,11.39,2017,2015,0,,0,,0,0,14.82,15.01,17.85,15.2,19.44,17.83,12.1,17.1,19.65,0.62,16,,,,,,,,,,,,100,53,81,0,4,,,,1,3,8,0,0,1,0,1,0,3,2,3,74,2,50,1,33,2,3,0,100,4.138888889,Any,
Angela,Casciani,F,36,Reserve,,Italy,15/08/1998,36,-1,0,66,0.64,2017,2015,0,,0,,0,0,6.44,6.93,2.83,5.15,3.89,5.98,5.15,3.77,5.86,0.42,16,,,,,,,,,,,,27,67,81,24,4,,,,2,5,3,0,0,0,0,15,0,9,6,0,18,2,38,3,30,1,4,0,100,1.277777778,GTSeries,
Ray,Roberts,M,37,One,,UnitedStates,18/11/1980,288; 56; 230; 86;,1,0,67,8.06,2018,2016,0,,0,,0,0,11.71,4.41,17.12,19.24,19.05,9.63,12.01,17.75,19.08,0.43,16,,,,,,,,,,,,100,38,81,20,4,,,,1,3,2,1,0,8,0,3,0,9,0,6,45,2,21,4,26,2,2,0,100,3.611111111,Any,
Alice,Wood,F,37,Two,,UK,21/05/1983,74; 2; 283; 165,2,0,59,8.19,2019,2016,0,,0,,0,12,9.98,11.96,12.76,15.32,18.07,13.14,14,17.27,18.5,0.53,16,,,,,,,,,,,,100,64,81,0,4,,,,2,1,9,0,0,0,0,15,0,10,10,5,26,2,50,3,34,2,3,0,100,3.638888889,Any,
Óscar,Diaz,M,37,Reserve,,Colombia,30/03/1984,3,2,0,65,3.44,2016,2015,0,,0,,0,0,10.1,12.93,13.34,13.13,7,4.13,9.94,6.89,16.54,0.71,42,,,,,,,,,,,,100,61,54,15,3,,,,3,0,7,0,0,0,0,17,0,1,0,7,61,5,50,2,31,2,4,0,100,2.611111111,Any,
Will,Hume,M,38,Equal,,UK,19/03/1996,73; 70,-1,0,74,7.22,2016,2014,0,,0,,0,0,12.4,11.21,17.02,8.15,17.37,17.85,10.72,13.6,15.68,0.63,16,,,,,,,,,,,,99,60,81,46,4,,,,1,3,8,0,0,8,0,15,0,6,2,6,95,2,18,3,30,3,5,100,100,3.444444444,GTSeries; EnduranceSeries,
Patrycja,Kaluza,F,38,Equal,,Poland,13/01/1997,6; 65,2,0,70,7.36,2018,2016,0,,0,,0,0,14.38,8.22,12.23,13.59,17.89,15.05,14.85,11.64,17.15,0.46,16,,,,,,,,,,,,41,41,81,10,4,,,,0,3,5,0,0,5,0,11,0,1,8,10,73,2,28,4,30,2,1,0,100,3.472222222,GTSeries; EnduranceSeries,
Masahiko,Tanakuchi,M,38,Reserve,,Japan,23/11/1993,51; 54,-1,0,65,6.81,2016,2015,0,,0,,0,0,17.5,17.84,10.01,16.96,6.67,9.35,16.14,10.01,16.52,0.47,16,,,,,,,,,,,,100,56,81,33,4,,,,2,7,6,0,0,0,0,2,0,1,6,9,26,2,55,3,28,2,2,0,100,3.361111111,Any,
Eva,Blasi,F,39,One,,Switzerland,02/12/1989,65; 53,-1,0,62,10,2017,2015,0,,0,,0,0,18.9,17.21,18,8.66,16.1,18.94,13.65,14.32,18.22,0.82,16,,,,,,,,,,,,100,43,81,15,4,,,,0,3,4,0,0,8,0,15,0,4,0,10,64,2,40,1,29,3,2,0,100,4,Any,
Hannah,Trenoweth,F,39,Two,,UK,24/08/1998,46,-1,0,59,4.56,2016,2014,0,,0,,0,0,9.27,7.5,15.67,8.79,11.74,9.47,12.62,14.27,14.67,0.73,16,,,,,,,,,,,,26,51,81,0,4,,,,1,2,7,0,0,0,0,10,0,2,5,0,19,2,20,6,28,2,2,0,100,2.888888889,Any,
Niklas,Wuelfrath,M,39,Reserve,,Germany,24/06/1992,38; 56; 165,-1,0,82,2.89,2016,2014,0,,0,,0,0.75,8.05,6.79,7.26,10.51,9.93,12.08,12.08,11.44,10.86,0.71,16,,,,,,,,,,,,100,70,81,20,4,,,,0,5,7,1,0,0,0,8,0,4,9,9,12,2,30,3,28,2,3,0,100,2.472222222,GTSeries; EnduranceSeries,
Dagur,Stefánsson,M,40,Equal,,Iceland,26/08/1998,51; 69; 6,-1,0,66,6.67,2016,2015,0,,0,,0,0,9.71,14.15,17.29,9.04,12.9,16.42,12.74,13.14,14.61,0.83,16,,,,,,,,,,,,26,65,81,23,4,,,,1,6,0,0,0,2,0,16,0,10,9,9,68,2,20,4,30,2,1,0,100,3.333333333,GTSeries; EnduranceSeries,
Santo,Parisi,M,40,Equal,,Italy,16/02/1990,42; 44; 49,-1,0,72,8.33,2016,2015,0,,0,,0,0,11.85,10.74,15.89,14.4,17.11,15.41,15.83,14.82,15.95,0.91,16,,,,,,,,,,,,100,48,81,43,4,,,,3,3,9,1,0,7,0,3,0,4,0,3,11,2,40,2,31,3,2,0,100,3.666666667,GTSeries; EnduranceSeries,
Gaspar,Fuentes,M,40,Reserve,,Spain,17/03/1993,131; 48; 49,-1,0,70,4,2016,2015,0,,0,,0,0,14.02,13.11,14.35,15.83,2.03,3.66,10.76,8.84,16.4,0.46,16,,,,,,,,,,,,100,51,81,20,4,,,,0,3,1,0,0,0,0,8,0,5,3,10,79,2,11,3,31,2,1,0,100,2.75,GTSeries,
Cristina,Capello,F,41,Equal,,Italy,10/02/1979,132; 27; 77,-1,0,65,4.89,2016,2015,0,,0,,0,0,17.05,17.07,5.08,13.07,11.64,11.34,10.78,7.16,13.81,0.93,16,,,,,,,,,,,,100,50,81,0,4,,,,5,6,7,1,0,0,0,7,0,10,8,0,98,2,50,3,31,2,1,0,100,2.972222222,Any,
Gary,Edwards,M,41,Equal,,UnitedStates,30/06/1980,261; 67; 51; 230,-1,0,68,4.44,2016,2014,0,,0,,0,0,16.86,8,8.25,15.66,10.84,11.5,4.72,11.28,15.89,0.42,16,,,,,,,,,,,,100,54,81,0,4,,,,3,4,7,0,0,4,0,2,0,7,3,7,100,2,50,4,33,1,1,0,100,2.861111111,Any,
Gregorio,Suero,M,41,Reserve,,Spain,30/09/1990,24; 233,-1,0,75,2,2017,2015,0,,0,,0,0,9.75,10.34,11.86,6.94,9.09,9.11,7.66,12.47,3.78,0.52,16,,,,,,,,,,,,100,54,81,16,4,,,,1,4,9,0,0,0,0,11,0,8,1,6,45,2,20,3,28,2,1,0,100,2.25,Any,
Lars,Ohlin,M,42,One,,Sweden,30/06/1980,263; 278,0,0,70,9.58,2016,2015,0.06,3,0.06,1,0,0,18.39,6.5,17.58,18.07,17.26,11.88,16.69,17.44,17.19,0.7,16,,,,,,,,,,,,100,59,81,0,4,,,,1,5,8,0,0,0,0,0,0,9,3,1,8,2,65,1,37,3,5,100,100,3.916666667,GTSeries,
Barnaby,White,M,42,Two,,UK,22/09/1992,13; 40,1,0,69,4.44,2018,2016,,,,,,0,16.67,11.58,6.95,13.43,6.89,9.1,6.12,15.98,16.28,0.81,16,,,,,,,,,,,,85,50,81,45,4,,,,1,3,8,0,0,0,0,8,0,9,7,3,47,2,80,2,28,2,1,0,100,2.861111111,Any,
Calvin,Griffin,M,42,Reserve,,UnitedStates,21/10/1995,45; 43; 229,1,0,64,0.96,2017,2015,0,,0,,0,0,9.94,3.45,9.52,6.28,4.75,3.37,6.58,13.29,11.82,0.66,16,,,,,,,,,,,,100,47,81,29,4,,,,3,1,9,0,0,0,0,7,0,0,9,6,22,2,37,3,27,1,1,0,100,1.916666667,GTSeries,
Sally,Higgins,F,43,Two,,UnitedStates,09/04/1982,54;  229,1,0,63,5.42,2016,2015,0,,0,,0,0,13.76,3,15.61,9.08,17.47,15.82,13.31,9.29,13.66,0.53,16,,,,,,,,,,,,100,57,81,0,4,,,,4,5,6,0,0,0,0,9,0,8,6,5,26,2,50,3,31,2,1,0,100,3.083333333,GTSeries,
Asta,Landvik,F,43,One,,Norway,16/04/1981,130; 128; 64,0,0,60,8.75,2017,2015,0.06,3,0.06,1,0,0,13.22,17.86,16.94,6.91,17.05,16.04,15.63,13.19,18.16,0.9,16,,,,,,,,,,,,100,66,81,0,4,,,,0,1,7,1,0,1,0,4,0,10,2,6,75,2,50,3,34,3,5,100,100,3.75,Any,
Bjørn,Bjelland,M,43,Reserve,,Norway,24/09/1985,59; 292; 165,1,0,74,0.32,2016,2015,0,,0,,0,1.5,1.4,1.77,1.4,1.47,4.09,3.98,1.6,3.72,0.57,0.83,58,,,,,,,,,,,,100,52,5,38,4,,,,1,0,6,0,0,3,0,12,0,5,3,9,100,1,100,2,32,1,1,0,100,0.555555556,GTSeries,
Nabil,Vercruysse,M,44,Equal,,Belgium,05/12/1989,67; 40,1,0,68,8.89,2018,2016,0,,0,,0,0,13.18,12.71,18.8,15.4,17.89,15.97,7,18.09,16.96,0.78,16,,,,,,,,,,,,100,38,81,18,4,,,,2,4,5,0,0,0,0,13,0,9,10,4,26,2,15,2,30,2,1,0,100,3.777777778,Any,
Yang,Lei,F,44,Equal,,China,31/12/1987,66; 52; 227,-1,0,66,8.06,2017,2015,0,,0,,0,0,15.19,18.75,4.45,8.21,16.5,14.9,17.6,16.32,18.08,0.4,16,,,,,,,,,,,,100,61,81,12,4,,,,0,6,9,1,0,0,0,5,0,3,7,5,70,2,35,3,30,2,1,0,100,3.611111111,GTSeries,
Jakob,Võsu,M,44,Reserve,,Estonia,12/03/1992,291; 261; 165,-1,0,63,1.33,2017,2015,0,,0,,0,0.65,8.37,1.74,14.82,6.2,6.47,9.94,11.57,11.74,4.15,0.88,16,,,,,,,,,,,,100,48,81,38,4,,,,1,6,4,0,0,0,0,6,0,5,4,5,47,2,35,2,31,2,1,0,100,2.083333333,GTSeries,
Mitsuki,Naito,M,45,Equal,,Japan,01/02/1996,8; 6; 284,-1,0,70,7.5,2016,2015,0,,0,,0,0,12.84,12.59,12.08,17.08,10.27,14.95,14.59,12.27,19.33,0.56,16,,,,,,,,,,,,100,63,81,1,4,,,,2,5,8,0,0,4,0,11,0,5,8,8,67,2,30,3,30,1,1,0,100,3.5,GTSeries,
Kyuichi,Okimoto,M,45,Equal,,Japan,16/06/1989,36; 47,-1,0,72,7.36,2016,2015,0,,0,,0,0,17.12,15.57,14.85,18.34,7.72,15.36,15.13,4.72,16.19,0.93,16,,,,,,,,,,,,100,44,81,18,4,,,,0,4,6,0,0,0,0,16,0,7,5,0,33,2,22,2,28,2,1,0,100,3.472222222,GTSeries,
Wakana,Omura,F,45,Reserve,,Japan,16/01/1994,45; 165,-1,0,70,5.42,2017,2015,0,,0,,0,2.25,11.5,12.94,7.55,14.29,6.2,10.93,16.52,13.25,17.82,0.56,16,,,,,,,,,,,,100,47,81,14,4,,,,5,4,11,0,0,7,0,14,0,9,8,7,52,2,20,2,28,2,1,0,100,3.083333333,Any,
Teuvo,Partanen,M,46,Equal,,Finland,08/01/1996,286; 287; 44; 165,1,0,72,8.06,2017,2015,0,,0,,0,1,15,17.02,15.88,4.21,14.96,17.78,18.01,11.46,15.68,0.6,16,,,,,,,,,,,,100,47,81,12,4,,,,2,5,7,1,0,0,0,7,0,5,4,5,63,2,25,3,30,2,1,0,100,3.611111111,GTSeries,
Luca,Gatto,M,46,Equal,,Italy,27/04/1982,54; 297,-1,0,70,4.22,2017,2015,0,,0,,0,0,8.7,16.13,4.88,5.13,14.83,17.13,8.46,16.83,8.91,0.66,53,,,,,,,,,,,,100,65,31,3,5,,,,0,3,8,1,0,8,0,7,0,1,7,1,38,3,50,1,31,1,1,0,100,2.805555556,Any,
Chris,Cannon,M,46,Reserve,,UnitedStates,29/09/1989,47; 50;229,-1,0,68,1.22,2016,2015,0,,0,,0,0,9.5,1,12.52,11.45,2.92,5.56,10.59,11.09,9.37,0.42,16,,,,,,,,,,,,100,47,81,12,4,,,,1,2,7,0,0,0,0,0,0,5,6,9,21,2,44,2,31,2,1,0,100,2.055555556,Any,
Nina,Cellier,F,47,One,,France,07/07/1997,55,-1,0,63,4.11,2018,2016,0,,0,,0,0,9.04,15.24,1.32,14,10.18,14.69,10.66,11.57,13.3,0.85,16,,,,,,,,,,,,37,59,81,0,4,,,,0,2,0,0,0,5,0,3,0,0,5,6,56,2,18,3,32,3,1,0,100,2.777777778,GTSeries,
Alexia,Pernet,F,47,Two,,France,30/06/1997,47; 50,0,0,60,4.11,2018,2016,0,,0,,0,0,8.93,14.78,14.37,4.14,14.77,9.04,12.49,8.98,12.5,0.65,16,,,,,,,,,,,,37,50,81,35,4,,,,0,3,1,2,1,2,0,4,0,0,9,6,4,2,30,3,26,2,1,0,100,2.777777778,GTSeries,
Nevada,Mellado,M,47,Reserve,,Venezuela,16/10/1995,37; 165; 229,-1,0,71,0.53,2016,2015,0,,0,,0,1.75,1.4,0.95,4.04,1.52,2.5,5.58,8.44,7.3,6.27,0.64,16,,,,,,,,,,,,100,44,81,0,4,,,,4,2,6,0,0,0,0,4,0,3,4,8,79,2,50,3,35,2,1,0,100,1.055555556,GTSeries,
